post_id,data,post
771670,1662219311,"Москва. Глаза болят, нос заложен и горло реагируют. Пью АГ с весны. Не понимаю, почему так реагирую и на что?!😔"
771670,1662220481,"Москва, вчера вечером глаза красные у сына, (гидрокортизон на ночь) и живот болит. 🙁 Вообще с 20 августа реагирует глазами на что-то, видимо, амброзия прилетает в Москву."
771670,1662227769,"Курск. Два дня в школе и сегодня с утра сплошной чих и шмурыгает носом. Соплей нет. Тоже думаю аллергия на школу. Три месяца относительно нормально, но я ещё не отдохнула от прошлого ужасного учебного года."
771670,1662269361,Омск. Как обстановка? Есть ли реакция на полынь?
771670,1662321931,Москва 😪😪😪
771670,1662372310,Рязань.Сын не понятно на что среагировал🤦‍♀️началось обострение аллергического насморка (
771670,1662489251,Тоже в Москве насморк почему-то.. думал может простуда но кажется нет
771609,1662103800,"Рязанская область: все еще очень задымлено, еще и холодно, потекли слезы😢"
771609,1662112041,Добррый день. Чебоксары-всё пучком
771609,1662114376,Татарстан Набережные Челны.  Ночью был дождь. Вчера дочь не реагировала сегодня есть реакция.  Приняла аг
771609,1662116127,"Алушта. Слегка спала жара, и с аллергией легче"
771609,1662117068,Ярославль. Хорошо
771609,1662121235,Кисловодск. Нос в шоке. Скорей бы дождь
771609,1662128876,"Тольятти
На 90% все хорошо! Только осталась пока реакция на яблоки и томаты, почему то начал чесаться рот от них, никогда не было такого
Сопли практически сошли на нет,и по утрам я чувствую себя уже тоже более менее нормального"
771609,1662129492,Краснодар ужас какая амброзия👹👹👹👹👹👹
771609,1662132072,"Москва, полынь у подъезда"
771609,1662138597,"Уфа, до сих пор не отпускает😭😭😭😭"
771609,1662212523,"Москва область (Одинцово) чихаю, насморк второй день, но может это и не аллергия"
771528,1662020600,Все в школе.
771528,1662022443,все на даче. подмосковье. холодно🥶
771528,1662025019,Татарстан Набережные Челны.  Дочь без лекарств.  В школу ходила. Сказала чувствует себя нормально
771528,1662026078,Псков.  Ангина привязалась 😩
771528,1662027764,"С 1 сентября. Забрала сегодня дочь 13 лет, с 3го урока из-за сильной аллергической реакции. На что неизвестно, цветов не было....на кабинет геометрии - все что известно"
